INSTRUMENT_TYPE_ID,TICKER_ID,TICKER_CODE,COUNTRY_NAME,COUNTRY_CODE,COUNTRY_CODE_2,PLUS500
1,194,DICY.BA,Argentina,1,AR,0
1,195,MCD.BA,Argentina,1,AR,0
1,196,PUM21.BA,Argentina,1,AR,0
1,197,JPM.BA,Argentina,1,AR,0
1,198,NOKA.BA,Argentina,1,AR,0
1,199,INVJ.BA,Argentina,1,AR,0
1,200,OCR14.BA,Argentina,1,AR,0
1,201,OGZD.BA,Argentina,1,AR,0
1,202,CELU.BA,Argentina,1,AR,0
1,203,ORCL.BA,Argentina,1,AR,0
1,204,SNE.BA,Argentina,1,AR,0
1,205,GNCEO.BA,Argentina,1,AR,0
1,206,PAA0.BA,Argentina,1,AR,0
1,207,EDN.BA,Argentina,1,AR,0
1,208,TXN.BA,Argentina,1,AR,0
1,209,BMA-5.BA,Argentina,1,AR,0
1,210,EMC.BA,Argentina,1,AR,0
1,211,CECO2.BA,Argentina,1,AR,0
1,212,MOLI5.BA,Argentina,1,AR,0
1,213,FORM3.BA,Argentina,1,AR,0
1,214,CHL.BA,Argentina,1,AR,0
1,215,RNG21.BA,Argentina,1,AR,0
1,216,MPC7O.BA,Argentina,1,AR,0
1,217,BA.BA,Argentina,1,AR,0
1,218,FMCC.BA,Argentina,1,AR,0
1,219,MDC4O.BA,Argentina,1,AR,0
1,220,PARP.BA,Argentina,1,AR,0
1,221,MELI.BA,Argentina,1,AR,0
1,222,PTR.BA,Argentina,1,AR,0
1,223,TUCS1.BA,Argentina,1,AR,0
1,224,ERG16.BA,Argentina,1,AR,0
1,225,DEO.BA,Argentina,1,AR,0
1,226,BHP.BA,Argentina,1,AR,0
1,227,BBD.BA,Argentina,1,AR,0
1,228,PR15.BA,Argentina,1,AR,0
1,229,NGG.BA,Argentina,1,AR,0
1,230,VZ.BA,Argentina,1,AR,0
1,231,LONG.BA,Argentina,1,AR,0
1,232,PARY.BA,Argentina,1,AR,0
1,233,TECO2.BA,Argentina,1,AR,0
1,234,NF18.BA,Argentina,1,AR,0
1,235,BCS.BA,Argentina,1,AR,0
1,236,BNN16.BA,Argentina,1,AR,0
1,237,H04Y6.BA,Argentina,1,AR,0
1,238,PUO19.BA,Argentina,1,AR,0
1,239,MON.BA,Argentina,1,AR,0
1,240,TVPA.BA,Argentina,1,AR,0
1,241,ERD16.BA,Argentina,1,AR,0
1,242,TVPY.BA,Argentina,1,AR,0
1,243,BADER.BA,Argentina,1,AR,0
1,244,LMT.BA,Argentina,1,AR,0
1,245,PR13.BA,Argentina,1,AR,0
1,246,CL.BA,Argentina,1,AR,0
1,247,OEST.BA,Argentina,1,AR,0
1,248,BDC19.BA,Argentina,1,AR,0
1,249,GBAN.BA,Argentina,1,AR,0
1,250,BOLT.BA,Argentina,1,AR,0
1,251,INDU.BA,Argentina,1,AR,0
1,252,HMY.BA,Argentina,1,AR,0
1,253,OCK2P.BA,Argentina,1,AR,0
1,254,NORT6.BA,Argentina,1,AR,0
1,255,PFE.BA,Argentina,1,AR,0
1,256,BBV.BA,Argentina,1,AR,0
1,257,HPQ.BA,Argentina,1,AR,0
1,258,AUSO.BA,Argentina,1,AR,0
1,259,PARA.BA,Argentina,1,AR,0
1,260,BSBR.BA,Argentina,1,AR,0
1,261,SLB.BA,Argentina,1,AR,0
1,262,VOD.BA,Argentina,1,AR,0
1,263,PMO18.BA,Argentina,1,AR,0
1,264,REGE.BA,Argentina,1,AR,0
1,265,ERJ17.BA,Argentina,1,AR,0
1,266,DIA0.BA,Argentina,1,AR,0
1,267,AD16.BA,Argentina,1,AR,0
1,268,RDS.BA,Argentina,1,AR,0
1,269,TXR.BA,Argentina,1,AR,0
1,270,DICP.BA,Argentina,1,AR,0
1,271,IBN.BA,Argentina,1,AR,0
1,272,HMC.BA,Argentina,1,AR,0
1,273,BD6C6.BA,Argentina,1,AR,0
1,274,BC2N6.BA,Argentina,1,AR,0
1,275,BMY.BA,Argentina,1,AR,0
1,276,CUAP.BA,Argentina,1,AR,0
1,277,E.BA,Argentina,1,AR,0
1,278,METR.BA,Argentina,1,AR,0
1,279,JNJ.BA,Argentina,1,AR,0
1,280,BNN17.BA,Argentina,1,AR,0
1,281,UN.BA,Argentina,1,AR,0
1,282,GGAL.BA,Argentina,1,AR,0
1,283,TM.BA,Argentina,1,AR,0
1,284,BAO17.BA,Argentina,1,AR,0
1,285,MSFT.BA,Argentina,1,AR,0
1,286,TOT.BA,Argentina,1,AR,0
1,287,SBUX.BA,Argentina,1,AR,0
1,288,ROSE.BA,Argentina,1,AR,0
1,289,MTU.BA,Argentina,1,AR,0
1,290,GE.BA,Argentina,1,AR,0
1,291,CGPA2.BA,Argentina,1,AR,0
1,292,BDC20.BA,Argentina,1,AR,0
1,293,PAP0.BA,Argentina,1,AR,0
1,294,GSK.BA,Argentina,1,AR,0
1,295,DIP0.BA,Argentina,1,AR,0
