,ticker,exchange
355,HOLN,SIX
356,SCMN,SIX
357,SGSN,SIX
358,SLHN,SIX
359,SREN,SIX
360,UBSG,SIX
361,UHR,SIX
362,ZURN,SIX
363,ACN,NYSE
364,AAL,Nasdaq
365,ABBV,NYSE
366,BIIB,Nasdaq
367,VIAC,Nasdaq
368,CMCSA,Nasdaq
369,COF,NYSE
370,COST,Nasdaq
371,CVS,NYSE
372,GILD,Nasdaq
373,GPRO,Nasdaq
374,GS,NYSE
375,HON,Nasdaq
376,K,NYSE
377,CPRI,NYSE
378,LOW,NYSE
379,M,NYSE
380,MCK,NYSE
381,MDT,NYSE
382,MET,NYSE
383,BKNG,Nasdaq
384,PM,NYSE
385,PSX,NYSE
386,PYPL,Nasdaq
387,QCOM,Nasdaq
388,RDS.B,NYSE
389,SHAK,NYSE
390,TGT,NYSE
391,TTM,NYSE
392,UNP,NYSE
393,UPS,NYSE
394,WBA,Nasdaq
395,WFC,NYSE
396,WMB,NYSE
397,VLO,NYSE
398,ABC,NYSE
399,KR,NYSE
400,GM,NYSE
401,MPC,NYSE
402,CAH,NYSE
403,ANTM,NYSE
404,FMC,NYSE
405,AIG,NYSE
406,COP,NYSE
407,ET,NYSE
408,HUM,NYSE
409,EPD,NYSE
410,SYY,NYSE
411,JCI,NYSE
412,PAGP,Nasdaq
413,INT,NYSE
414,BBY,NYSE
415,DAL,NYSE
416,HCA,NYSE
417,UAL,Nasdaq
418,TSN,NYSE
419,DE,NYSE
420,ALL,NYSE
421,CI,NYSE
422,MDLZ,Nasdaq
423,SNEX,Nasdaq
424,HAL,NYSE
425,GD,NYSE
426,TJX,NYSE
427,AVT,Nasdaq
428,EXC,Nasdaq
429,IP,NYSE
430,QRTEA,Nasdaq
431,DUK,NYSE
432,RAD,NYSE
433,EMR,NYSE
434,NOC,NYSE
435,NOV,NYSE
436,ARW,NYSE
437,AFL,NYSE
438,ABT,NYSE
439,CYH,NYSE
440,FLR.US,NYSE
441,FCX,NYSE
442,USB,NYSE
443,NUE,NYSE
444,KMB,NYSE
445,HES,NYSE
446,XRX,Nasdaq
447,MAN,NYSE
448,DHR,NYSE
449,WHR,NYSE
450,PBF,NYSE
451,HFC,NYSE
452,LLY,NYSE
453,DVN,NYSE
454,PGR,NYSE
455,CMI,NYSE
456,IEP,Nasdaq
457,KSS,NYSE
458,PCAR,Nasdaq
459,HIG,NYSE
460,LUV,NYSE
461,SO,NYSE
462,GT,Nasdaq
463,EOG,NYSE
464,LUMN,NYSE
465,MO,NYSE
466,THC,NYSE
467,GIS,NYSE
468,CAG,NYSE
469,LEA,NYSE
470,X,NYSE
471,PAG,NYSE
472,AES,NYSE
473,GLP,NYSE
474,TMO,NYSE
475,PCG,NYSE
476,NEE,NYSE
477,AEP,Nasdaq
478,BAX,NYSE
479,CNC,NYSE
480,BK,NYSE
481,JBL,NYSE
482,PNC,NYSE
483,KMI,NYSE
484,ODP,Nasdaq
485,BMY,NYSE
486,NRG,NYSE
487,PPG,NYSE
488,GPC,NYSE
489,OMC,NYSE
490,ITW,NYSE
491,MUSA,NYSE
492,FE,NYSE
493,ARMK,NYSE
494,DISH,Nasdaq
495,L,NYSE
496,ECL,NYSE
497,CB,NYSE
498,WM,NYSE
499,APA,Nasdaq
500,TXT,NYSE
501,SNX.US,NYSE
502,LNC,NYSE
503,JWN,NYSE
504,CHRW,Nasdaq
505,EIX,NYSE
506,YUM,NYSE
507,PH,NYSE
508,DVA,NYSE
509,KMX,NYSE
510,TXN,Nasdaq
511,MMC,NYSE
512,ED,NYSE
513,OKE,NYSE
514,J,NYSE
515,CSX,Nasdaq
516,ETR,NYSE
517,D,NYSE
518,JEF,NYSE
519,AMP.US,NYSE
520,VFC,NYSE
521,ADP,Nasdaq
522,CDW,Nasdaq
523,XEL,Nasdaq
524,NSC,NYSE
525,PPL,NYSE
526,RRD,NYSE
527,HUN,NYSE
528,BBBY,Nasdaq
529,SWK,NYSE
530,BBWI,NYSE
531,SHW,NYSE
532,BLK,NYSE
533,ROST,Nasdaq
534,SRE,NYSE
535,EL,NYSE
536,RGA,NYSE
537,PEG,NYSE
538,STT,NYSE
539,UNM,NYSE
540,HLT,NYSE
541,PFG,Nasdaq
542,RS,NYSE
543,APD,NYSE
544,AIZ,NYSE
545,HSIC,Nasdaq
546,CTSH,Nasdaq
547,MGM,NYSE
548,GWW,NYSE
549,GPI,NYSE
550,TFC,NYSE
551,AAP,NYSE
552,ALLY,NYSE
553,AGCO,NYSE
554,GLW,NYSE
555,SYK,NYSE
556,MOH,NYSE
557,DFS,NYSE
558,GNW,NYSE
559,EMN,NYSE
560,AZO,NYSE
561,OMI,NYSE
562,HRL,NYSE
563,GME,NYSE
564,CNP,NYSE
565,FNF,NYSE
566,SAH,NYSE
567,CHTR,Nasdaq
568,CCK,NYSE
569,AMAT,Nasdaq
570,CBRE,NYSE
571,RSG,NYSE
572,UHS,NYSE
573,DRI,NYSE
574,STLD,Nasdaq
575,TRGP,NYSE
576,DLTR,Nasdaq
577,NWSA,Nasdaq
578,BLL,NYSE
579,MAS,NYSE
580,BEN,NYSE
581,BDX,NYSE
582,CPB,NYSE
583,ACM,NYSE
584,VC,Nasdaq
585,DK,NYSE
586,DOV,NYSE
587,BWA,NYSE
588,UGI,NYSE
589,MUR,NYSE
590,PVH,NYSE
591,DHI,NYSE
592,WY,NYSE
593,KKR,NYSE
594,FTI,NYSE
595,SPTN,Nasdaq
596,WCC,NYSE
597,PWR,NYSE
598,MHK,NYSE
599,LEN,NYSE
